time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,acc_x_raw,acc_y_raw,acc_z_raw,gyro_x_raw,gyro_y_raw,gyro_z_raw
1564084119.57,-0.0681794373365,0.0545384009046,0.967838883919,-4.87807618564,-1.08350312136,6.80964938278,-1117.05190132,893.55716042,15857.0722741,-639.027980319,-141.938908898,892.064069144
1564084119.68,-0.0668546576653,0.0538941311266,0.966855776777,-4.48416169685,-1.03087800006,6.03784474985,-1095.34671119,883.001444378,15840.9650467,-587.425182287,-135.045018008,790.95766223
1564084119.8,-0.0657355981488,0.0540467102015,0.966996370974,-4.13498216838,-1.00717951303,5.59360225959,-1077.01204007,885.501299941,15843.268542,-541.682664058,-131.940516207,732.761896007
1564084119.91,-0.0647284445839,0.0534271954313,0.966732280752,-3.81079692864,-0.990431027378,4.95714279699,-1060.51083606,875.351169947,15838.9416878,-499.214397652,-129.746464587,649.385706406
1564084120.02,-0.0636266938755,0.0525278352632,0.967202607364,-3.70528975486,-0.939479527694,4.4255506547,-1042.45975246,860.616052952,15846.6475191,-485.392957887,-123.071818128,579.747135765
1564084120.13,-0.062879258863,0.0534273954869,0.96669816694,-3.37445543587,-0.884462872634,3.91352994037,-1030.21377721,875.354447657,15838.3827672,-442.053662098,-115.864636315,512.672422189
1564084120.25,-0.0620600829767,0.0542369996882,0.966024443996,-3.10113202968,-0.883802844913,3.40538305321,-1016.79239949,888.619002891,15827.3444904,-406.248295889,-115.778172684,446.10517997
1564084120.36,-0.061615793429,0.0533054872194,0.966028444909,-2.41391959007,-0.894659201643,3.01140963338,-1009.51315954,873.357102602,15827.4100414,-316.2234663,-117.200355415,394.494661973
1564084120.47,-0.0578223781486,0.0501477900599,0.965275209793,-1.52290931046,-0.60977343415,0.608741952487,-947.361843587,821.621392342,15815.0690373,-199.50111967,-79.8803198737,79.7451957757
1564084120.59,-0.0563370153338,0.0492345735539,0.963449837251,-0.584358837426,-0.695360976231,0.460081497696,-923.025659228,806.659253108,15785.1621335,-76.5510077028,-91.0922878863,60.2706761982
